size,k,ngroups,rhat
10,1,2,9.0
10,2,2,9.82812026740972
10,3,2,9.0
10,4,2,9.82812026740972
10,5,2,12.344638885155298
10,6,2,9.82812026740972
10,7,2,9.0
10,8,2,9.82812026740972
10,9,2,9.0
10,10,1,18.000000000000004
10,11,2,9.0
10,12,2,9.82812026740972
10,13,2,9.113942310619057
10,14,2,9.82812026740972
10,15,2,12.344638885155298
10,16,2,9.82812026740972
10,17,2,9.494640298477185
10,18,2,9.82812026740972
10,19,2,9.494640298477185
10,20,1,18.000000000000004
10,21,2,9.82812026740972
10,22,2,9.82812026740972
10,23,2,9.82812026740972
10,24,2,9.82812026740972
10,25,2,12.344638885155298
10,26,2,10.313082303752838
10,27,2,10.313082303752838
10,28,2,10.313082303752838
10,29,2,10.313082303752838
10,30,1,18.000000000000004
10,31,2,10.313082303752838
10,32,2,10.313082303752838
10,33,2,10.313082303752838
10,34,2,11.052849215963967
10,35,2,12.344638885155298
10,36,2,11.052849215963967
10,37,2,11.052849215963967
10,38,2,11.052849215963967
10,39,2,11.052849215963967
10,40,1,18.000000000000004
10,41,2,11.052849215963967
10,42,2,11.052849215963967
10,43,2,11.052849215963967
10,44,2,11.052849215963967
10,45,2,12.344638885155298
10,46,2,11.052849215963967
10,47,2,11.052849215963967
10,48,2,11.052849215963967
10,49,2,11.052849215963967
10,50,1,18.000000000000004
10,51,2,12.344638885155298
10,52,2,12.344638885155298
10,53,2,12.344638885155298
10,54,2,12.344638885155298
10,55,2,12.344638885155298
10,56,2,12.344638885155298
10,57,2,12.344638885155298
10,58,2,12.344638885155298
10,59,2,12.344638885155298
10,60,1,18.000000000000004
10,61,2,12.344638885155298
10,62,2,12.344638885155298
10,63,2,12.344638885155298
10,64,2,12.344638885155298
10,65,2,12.344638885155298
10,66,2,12.344638885155298
10,67,2,12.344638885155298
10,68,2,12.344638885155298
10,69,2,12.344638885155298
10,70,1,18.000000000000004
10,71,2,12.344638885155298
10,72,2,12.344638885155298
10,73,2,12.344638885155298
10,74,2,12.344638885155298
10,75,2,12.344638885155298
10,76,2,12.344638885155298
10,77,2,12.344638885155298
10,78,2,12.344638885155298
10,79,2,12.344638885155298
10,80,1,18.000000000000004
10,81,2,12.344638885155298
10,82,2,12.344638885155298
10,83,2,12.344638885155298
10,84,2,12.344638885155298
10,85,2,12.344638885155298
10,86,2,12.344638885155298
10,87,2,12.344638885155298
10,88,2,12.344638885155298
10,89,2,12.344638885155298
10,90,1,18.000000000000004
10,91,2,12.344638885155298
10,92,2,12.344638885155298
10,93,2,12.344638885155298
10,94,2,12.344638885155298
10,95,2,12.344638885155298
10,96,2,12.344638885155298
10,97,2,12.344638885155298
10,98,2,12.344638885155298
10,99,2,12.344638885155298
10,100,1,18.000000000000004
