i,ngroups,rhat
0,9,47.133952908462525
1,19,45.74143666779763
2,32,44.80971761254543
3,9,47.27290143996287
4,26,45.48954305084073
5,20,46.07488144155532
6,26,45.67209634380747
7,9,47.27290143996287
8,17,46.24274757336654
9,20,46.16658274647173
10,18,46.03492861512883
11,9,47.27290143996287
12,18,46.16638992870216
13,15,46.558006358747214
14,19,46.18329061244181
15,9,47.27290143996287
16,13,46.76954124560072
17,14,46.65949612425508
18,15,46.52156160921787
19,9,47.27290143996287
20,14,46.602975528493886
21,13,46.77302734789358
22,17,46.43193449439701
23,9,47.27290143996287
24,15,46.652085829198384
25,15,46.657294656900774
26,13,46.87747290632718
27,9,47.27290143996287
28,15,46.51088296367658
29,13,46.765469030926454
30,15,46.51900687284998
31,9,47.27290143996287
32,13,46.78621400653409
33,13,46.816638294703
34,13,46.821639960368586
35,9,47.27290143996287
36,13,46.792160511120905
37,18,46.655995376970964
38,17,46.34330940767019
39,9,47.27290143996287
40,17,46.744511014230916
41,14,46.79278392367088
42,17,46.717759631616175
43,9,47.27290143996287
44,16,46.668117706374716
45,17,46.613554584345316
46,18,46.163017697625556
47,9,47.27290143996287
48,15,46.78970192277336
49,16,46.64456698690848
50,9,47.26153462186976
51,9,47.27290143996287
52,13,47.012515942149626
53,16,46.64841039817933
54,16,46.349472139762796
55,9,47.27290143996287
56,13,47.04560243522206
57,16,46.74306859616092
58,9,47.26424937800449
59,9,47.27290143996287
60,13,47.04560243522206
61,15,46.8086878569283
62,16,46.54972319229873
63,9,47.27290143996287
64,13,47.012515942149626
65,17,46.62712815995541
66,9,47.26153462186976
67,9,47.27290143996287
68,13,47.012515942149626
69,16,46.651809986451674
70,16,46.352346540655795
71,9,47.27290143996287
72,13,47.012515942149626
73,16,46.66019943833963
74,9,47.26153462186976
75,9,47.27290143996287
76,13,47.04560243522206
77,16,46.76530163861376
78,15,46.52229657532425
79,9,47.27290143996287
80,13,47.08557031665741
81,14,46.90181075620169
82,9,47.267048177947224
83,9,47.27290143996287
84,13,47.04560243522206
85,17,46.72717185665762
86,15,46.51961392228215
87,9,47.27290143996287
88,13,47.04560243522206
89,16,46.73935179779011
90,9,47.26424937800449
91,9,47.27290143996287
92,13,47.04560243522206
93,16,46.75370437323696
94,15,46.552929558429945
95,9,47.27290143996287
96,13,47.08557031665741
97,15,46.868746376649575
98,9,47.267048177947224
99,9,47.27290143996287
